trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.322101320663366,0.2167111733755615,0.0,none_l,False,,,3.9041241001104936,True,"[0.2167111733755615, 0.2167111733755615, 0.2167111733755615]",True,True,lighter,,1.1174457999877632,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,2,9.778238272814823,0.43755270296802007,-0.168,135_bottom_r,False,,,3.8574624999891967,True,"[0.26955270296802003, 0.26955270296802003, 0.26955270296802003]",True,False,darker,True,1.05084290006198,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,3,9.521908679431792,0.3017780710685678,0.335,none_d,False,,,3.8663276999723166,True,"[0.6367780710685678, 0.6367780710685678, 0.6367780710685678]",True,True,lighter,True,1.1005900000454858,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,4,9.12698466112707,0.33443223547241496,-0.168,135_top_l,False,,,3.866652900003828,True,"[0.16643223547241495, 0.16643223547241495, 0.16643223547241495]",True,False,darker,True,0.9003542000427842,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,5,9.888909056709291,-0.17737570121994425,0.168,135_bottom_d,False,,,3.866576600004919,True,"[-0.009375701219944244, -0.009375701219944244, -0.009375701219944244]",True,False,lighter,True,1.5996267000446096,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,6,9.120086106285596,0.2505992668627234,0.335,45_bottom_l,False,,,3.8645471000345424,True,"[0.5855992668627235, 0.5855992668627235, 0.5855992668627235]",True,False,lighter,True,0.9510727999731898,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,7,9.176853680783728,0.28271446109569087,-0.168,none_l,False,,,3.865351999993436,True,"[0.11471446109569086, 0.11471446109569086, 0.11471446109569086]",True,True,darker,True,1.3014301999937743,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,8,9.490628767299373,0.1388048493575563,0.0,45_bottom_d,True,3.5745802000164986,,3.8428805000148714,True,"[0.1388048493575563, 0.1388048493575563, 0.1388048493575563]",False,True,lighter,,1.3658903999021277,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,9,9.762945139484096,-0.2832300673218695,0.168,45_top_r,True,3.57319040002767,,3.8416373999789357,True,"[-0.1152300673218695, -0.1152300673218695, -0.1152300673218695]",False,True,darker,False,1.2500960000324994,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,10,9.48358821306135,0.4570330193802076,0.0,45_top_u,True,3.5743091999320313,,3.8427192999515682,True,"[0.4570330193802076, 0.4570330193802076, 0.4570330193802076]",False,True,lighter,,1.2654149000300094,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,11,9.374512430447552,-0.039697811519618736,0.335,45_bottom_d,False,,,3.8585124000674114,True,"[0.29530218848038126, 0.29530218848038126, 0.29530218848038126]",True,False,lighter,True,0.9505839999765158,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,12,9.400583793576201,0.35410111749557727,-0.335,none_u,True,3.5838523000711575,left,3.848928000079468,True,"[0.019101117495577247, 0.019101117495577247, 0.019101117495577247]",False,False,darker,True,1.0503467000089586,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
