trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
103,7.5,45_bottom_d,False,,,3.7210765833733603,slower,True,True,False,down,True,0.9528307083528489,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
104,8.0,45_top_u,True,3.6148805416887626,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
105,7.5,none_d,False,,,3.7103425833629444,faster,True,True,True,down,True,0.9520917916670442,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
106,8.5,none_u,False,,,3.7209169999696314,faster,True,True,True,up,True,0.7612965416628867,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
107,7.5,none_d,False,,,3.7282650418346748,slower,True,True,True,down,True,0.8298160831909627,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
108,7.5,135_top_l,False,,,3.7351562082767487,faster,True,True,False,left,True,0.7502362083178014,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
109,8.0,45_top_u,True,3.6236469582654536,,3.7298359165433794,slower,True,False,True,left,True,0.74596625007689,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
110,8.0,none_r,True,,left,,,False,False,False,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
111,8.0,45_bottom_d,False,,,3.7423283751122653,slower,True,True,False,down,True,0.9604792917380109,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
112,8.0,45_top_r,True,3.6291462499648333,,,,False,False,True,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
113,7.5,45_bottom_l,True,3.639819791656919,,,,False,False,True,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
114,8.0,45_bottom_d,True,3.624665333307348,,,,False,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
115,7.5,none_d,True,,right,,,False,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
116,8.5,135_bottom_d,True,3.6244798749685287,,,,False,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
117,8.0,45_top_u,False,,,3.735155791626312,slower,True,True,False,up,True,0.899371208390221,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
118,8.5,135_bottom_d,False,,,3.7368635416496545,faster,True,True,False,down,True,0.8970106667838991,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
119,7.5,none_d,True,,left,,,False,False,False,right,False,1.1198702916735783,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
120,8.5,none_l,False,,,3.7233556249411777,faster,True,True,True,left,True,0.7611396249849349,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
121,8.0,45_bottom_l,True,3.63108524994459,,,,False,False,True,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
122,7.5,none_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
123,8.0,none_u,True,,left,3.7391528332373127,slower,True,False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
124,8.5,none_l,True,,left,3.7238117083907127,slower,True,False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
125,8.0,135_bottom_d,False,,,3.7178518750006333,slower,True,True,False,down,True,0.8912703749956563,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
126,8.0,135_top_l,False,,,3.7384260416729376,faster,True,True,False,left,True,0.7709455415606499,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
127,8.5,135_bottom_r,True,3.6159027916146442,,3.720521666575223,faster,True,False,True,up,True,0.6615126666147262,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
128,8.5,none_l,True,,left,3.7252175000030547,faster,True,False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
129,7.5,135_top_l,True,3.616229833336547,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
