trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,8.5,45_top_r,True,3.93112195818685,,4.0479542498942465,faster,True,False,True,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,8.5,45_top_u,True,3.827753124991432,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,8.5,none_u,False,,,3.9182892499957234,slower,True,True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,8.0,135_top_u,True,3.828263416653499,,,,False,False,True,right,False,1.168125250027515,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,7.5,45_bottom_d,True,3.8028334999689832,,,,False,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
6,8.5,none_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,8.0,135_top_u,False,,,,,False,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
8,7.5,none_r,True,,left,3.9238499166676775,slower,True,False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
9,8.0,135_bottom_r,True,3.816439874935895,,3.934988583205268,faster,True,False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
10,7.5,135_top_u,True,3.812537833233364,,,,False,False,True,right,False,1.1888952082954347,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
11,7.5,135_top_u,True,3.7927349166711792,,3.90953800000716,faster,True,False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
12,8.0,none_u,True,,left,,,False,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
13,8.5,45_top_u,False,,,,,False,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
14,8.0,none_u,True,,left,,,False,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
15,8.5,135_top_l,True,3.8140335832722485,,3.931362958275713,faster,True,False,True,down,True,1.5417237917426974,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
16,8.0,none_d,False,,,3.9078037083381787,faster,True,True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
17,8.0,none_d,False,,,3.930478124995716,slower,True,True,True,down,True,0.990658541675657,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
18,7.5,45_top_u,True,3.80455670831725,,3.9190521667478606,slower,True,False,True,left,True,1.357726874994114,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
19,8.0,135_top_l,True,3.8076690833549947,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
20,8.5,45_top_r,True,3.806592374923639,,3.9221670833649114,slower,True,False,True,down,True,1.1216642915969715,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
21,7.5,135_bottom_r,False,,,3.9199390000430867,slower,True,True,False,right,True,1.1962237916886806,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
22,8.0,45_bottom_l,True,3.8318408749764785,,3.9496893332106993,faster,True,False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
23,8.5,135_top_l,False,,,3.91789270832669,faster,True,True,False,left,True,1.9386732917046174,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
24,8.5,135_top_u,False,,,3.9407431250438094,faster,True,True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
25,8.5,135_bottom_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
26,8.0,135_top_l,True,3.7948859583120793,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
27,8.5,135_top_u,False,,,3.934790874947794,slower,True,True,False,up,True,1.1723013332812116,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
28,7.5,135_bottom_d,True,3.8076324166031554,,,,False,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
29,8.0,45_top_u,True,3.8023121665464714,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
30,8.5,135_bottom_r,True,3.8301616666140035,,,,False,False,True,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
31,7.5,45_bottom_d,False,,,3.911486833356321,faster,True,True,False,down,True,1.238503250060603,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
32,8.5,45_top_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
33,8.0,none_r,False,,,3.908987541683018,faster,True,True,True,right,True,0.9845672083320096,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
34,8.5,135_bottom_d,True,3.795110624982044,,,,False,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
35,8.5,45_bottom_d,False,,,,,False,True,False,down,False,1.6368061666144058,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
36,7.5,135_bottom_r,True,3.820964541635476,,3.936879333225079,slower,True,False,True,up,True,1.0027626667870209,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
37,7.5,none_u,False,,,3.906662624911405,faster,True,True,True,up,True,0.9131303750909865,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
38,8.5,45_bottom_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
39,8.0,none_l,True,,right,3.909430625033565,slower,True,False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
40,8.5,135_top_u,True,3.8038324582157657,,,,False,False,True,right,False,1.7548582082381472,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
41,8.0,45_bottom_d,False,,,,,False,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
42,8.5,45_top_r,False,,,3.9204660832183436,slower,True,True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
43,8.0,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
44,8.0,none_l,True,,left,,,False,False,False,down,False,1.387407666654326,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
45,8.5,none_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
46,8.0,135_bottom_r,True,3.804814208415337,,3.923821875010617,faster,True,False,True,up,True,0.566553583368659,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
47,7.5,135_top_l,False,,,3.925421333289705,faster,True,True,False,left,True,1.1079488333780318,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
48,8.5,135_top_u,True,3.804027666687034,,,,False,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
49,8.0,135_bottom_d,False,,,,,False,True,False,down,False,1.0800540833733976,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
50,8.5,45_bottom_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
51,7.5,45_top_u,True,3.80958879168611,,,,False,False,True,left,False,0.8160327499499545,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
52,8.0,135_top_l,True,3.8109322499949485,,,,False,False,True,down,False,0.8649853749666363,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
53,8.5,none_l,True,,left,3.932447541737929,slower,True,False,False,down,True,0.7473647082224488,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
54,8.0,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
55,8.0,none_d,True,,left,,,False,False,False,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
56,7.5,none_r,True,,left,,,False,False,False,up,False,1.3827578332275152,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
57,8.0,45_bottom_l,True,3.814678750000894,,,,False,False,True,up,False,0.8678327499656007,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
58,7.5,45_top_r,True,3.8242851248942316,,3.941581958322786,faster,True,False,True,down,True,0.8614261666079983,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
59,7.5,135_bottom_d,False,,,3.9392161667346954,faster,True,True,False,down,True,0.9873028749134392,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
60,8.0,none_u,False,,,,,False,True,True,up,False,1.164037708309479,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
61,7.5,none_u,False,,,3.9298609999241307,faster,True,True,True,up,True,0.9361567500745878,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
62,8.0,135_bottom_r,True,3.809606458293274,,,,False,False,True,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
63,7.5,none_l,False,,,,,False,True,True,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
64,8.0,45_bottom_d,True,3.8039021249860525,,3.9199508749879897,slower,True,False,True,right,True,0.9423632500693202,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
65,7.5,none_r,True,,left,3.922148666693829,faster,True,False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
66,8.0,none_d,False,,,3.907445750082843,slower,True,True,True,down,True,1.0157095417380333,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
67,7.5,none_l,True,,right,3.913222166709602,slower,True,False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
68,8.0,none_d,True,,right,3.919322833418846,slower,True,False,False,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
69,7.5,135_top_l,False,,,3.908645583433099,slower,True,True,False,left,True,0.9177784166531637,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
70,8.0,none_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
71,8.0,none_r,True,,left,3.937273749965243,faster,True,False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
72,8.5,none_r,True,,right,3.9064227082999423,slower,True,False,False,down,True,1.2285488749621436,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
73,8.5,135_bottom_r,False,,,4.027524875011295,faster,True,True,False,right,True,0.9190439581871033,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
74,7.5,45_bottom_l,False,,,3.9281438750913367,faster,True,True,False,left,True,0.7486530415480956,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
75,8.0,none_u,False,,,,,False,True,True,up,False,1.1861306249629706,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
76,8.5,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
77,8.5,135_top_l,True,3.8898669166956097,,4.005635250010528,slower,True,False,True,down,True,0.8659800416789949,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
78,8.0,135_bottom_d,False,,,3.9108640416525304,faster,True,True,False,down,True,0.8690641667926684,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
79,8.5,45_bottom_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
80,7.5,135_top_u,False,,,3.9218518750276417,slower,True,True,False,up,True,0.8980036249849945,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
81,8.5,none_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
82,7.5,45_bottom_l,True,3.7971418333472684,,,,False,False,True,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
83,7.5,45_bottom_d,False,,,3.927352500031702,slower,True,True,False,down,True,0.9210690415930003,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
84,8.0,45_top_r,True,3.811867624986917,,3.928423958364874,faster,True,False,True,down,True,0.9228287501027808,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
85,8.0,none_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
86,7.5,none_r,False,,,3.9213547916151583,slower,True,True,True,right,True,1.0965280834352598,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
87,8.0,45_bottom_d,False,,,3.922339375014417,slower,True,True,False,down,True,0.9141087917378172,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
88,7.5,135_bottom_d,False,,,3.9345032083801925,slower,True,True,False,down,True,0.9615658749826252,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
89,7.5,45_top_u,True,3.8127232915721834,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
90,8.5,135_top_u,True,3.798012249986641,,3.915502000018023,slower,True,False,True,right,True,1.4182705417042598,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
91,8.5,135_top_u,False,,,,,False,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
92,8.0,135_bottom_d,False,,,3.9223911666776985,slower,True,True,False,down,True,1.0781879583373666,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
93,7.5,135_bottom_r,False,,,3.940503333345987,slower,True,True,False,right,True,0.8290988332591951,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
94,7.5,135_top_l,True,3.8166831666603684,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
95,8.0,135_bottom_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
96,8.0,none_d,True,,right,,,False,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
97,8.5,45_bottom_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
98,7.5,45_bottom_d,True,3.7973158332752064,,,,False,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
99,8.5,45_bottom_d,False,,,,,False,True,False,down,False,1.2765410833526403,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
100,8.0,135_bottom_d,True,3.8332857083296403,,,,False,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
101,8.0,none_u,True,,right,,,False,False,False,right,False,1.131714666611515,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
102,7.5,45_top_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
103,7.5,135_bottom_r,False,,,,,False,True,False,right,False,0.9924837499856949,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
104,7.5,45_top_r,True,3.808822500053793,,,,False,False,True,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
105,8.5,45_top_r,True,3.806864666636102,,3.9227591666858643,slower,True,False,True,down,True,0.8490481666522101,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
106,8.5,45_top_u,False,,,3.914167125010863,faster,True,True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
107,7.5,45_bottom_l,True,3.8193663749843836,,3.948562416713685,faster,True,False,True,up,True,0.8597719166427851,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
108,7.5,none_l,False,,,,,False,True,True,left,False,0.8409680416807532,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
