trial_type,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,6.0,none_u,False,,,4.330388791626319,True,[0.45  0.45  0.675],True,True,up,True,0.4943589166505262,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,2,6.5,none_d,True,4.12676191655919,right,4.411659541656263,True,[0.45  0.45  0.675],False,False,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,3,6.5,none_l,False,,,,False,,True,True,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,4,6.25,none_d,False,,,,False,,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,5,6.5,none_u,False,,,,False,,True,True,up,False,0.5168391249608248,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,6,6.25,none_d,True,4.011408541584387,right,,False,,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,7,6.0,none_l,False,,,4.34000366658438,True,[0.45  0.45  0.675],True,True,left,True,0.5526289583649486,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,8,6.0,135_top_l,False,,,4.303497708402574,True,[0.45  0.45  0.675],True,False,left,True,0.5354652915848419,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,9,6.0,none_r,False,,,,False,,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,10,6.5,135_bottom_d,False,,,4.313401458202861,True,[0.45  0.45  0.675],True,False,down,True,0.5039412083569914,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,11,6.25,none_l,False,,,4.321692833327688,True,[0.45  0.45  0.675],True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,12,6.25,45_bottom_l,False,,,4.354715000023134,True,[0.45  0.45  0.675],True,False,left,True,0.5009256249759346,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,13,6.5,45_top_u,False,,,,False,,True,False,up,False,0.5196979168104008,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,14,6.0,none_l,True,4.0486857916694134,left,4.357244708226062,True,[0.45  0.45  0.675],False,False,down,True,0.42248341673985124,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,15,6.5,135_top_u,True,4.1886402915697545,,,False,,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
