trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,7.5,none_l,False,,,3.8023067499743775,slower,True,True,True,left,True,0.7420671666041017,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
2,8.5,45_top_r,False,,,3.731942041660659,faster,True,True,False,right,True,0.8304675833787769,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
3,8.0,45_top_u,True,3.617939749965444,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
4,8.0,135_bottom_d,True,3.6217657916713506,,,,False,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
5,8.5,45_bottom_d,False,,,3.720688750036061,faster,True,True,False,down,True,0.6160013750195503,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
6,7.5,none_u,True,,left,3.7217842084355652,faster,True,False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
7,7.5,45_bottom_l,False,,,3.7346118750283495,slower,True,True,False,left,True,0.5530929999658838,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
8,7.5,135_bottom_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
9,8.5,45_bottom_d,False,,,3.7212215833133087,faster,True,True,False,down,True,0.5921634166734293,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
10,7.5,45_top_r,True,3.6573924584081396,,,,False,False,True,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
11,7.5,45_top_u,True,3.617111500003375,,,,False,False,True,left,False,0.7566646250197664,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
12,7.5,45_top_r,True,3.619380291784182,,3.7240246668225154,slower,True,False,True,down,True,0.5723326249280944,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
13,8.0,45_top_r,False,,,3.743989458424039,faster,True,True,False,right,True,0.6831539999693632,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
14,8.5,135_top_l,False,,,3.728002458345145,faster,True,True,False,left,True,0.6579630000051111,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
15,8.5,45_bottom_l,False,,,3.7298002083553,faster,True,True,False,left,True,0.5990667082369328,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
16,8.0,135_top_u,False,,,,,False,True,False,up,False,0.6289240000769496,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
17,8.0,45_top_u,False,,,3.7184569583041593,slower,True,True,False,up,True,0.6119214167119935,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
18,8.5,135_top_l,True,3.622515166644007,,3.727538250037469,faster,True,False,True,down,True,0.5089937082957476,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
19,7.5,none_d,False,,,3.7210027081891894,slower,True,True,True,down,True,0.5716116250259802,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
20,8.0,45_bottom_l,True,3.627596666687168,,,,False,False,True,up,False,0.6934917500475422,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
21,7.5,135_top_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
22,7.5,none_l,False,,,,,False,True,True,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
23,7.5,135_bottom_r,True,3.6196737915743142,,3.725041166646406,slower,True,False,True,up,True,0.5723995416192338,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
24,8.5,135_top_l,True,3.6154132082592696,,3.720821166643873,faster,True,False,True,down,True,0.5935032500419766,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
25,7.5,none_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
26,8.0,none_l,True,,right,3.7187860832782462,slower,True,False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
27,8.5,135_bottom_r,True,3.630966500029899,,,,False,False,True,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
28,8.0,45_top_u,True,3.6209480832330883,,,,False,False,True,left,False,0.7359856666298583,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
29,8.0,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
30,7.5,135_top_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
31,7.5,45_bottom_l,False,,,3.71849400002975,slower,True,True,False,left,True,0.6538549165707082,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
32,7.5,45_bottom_d,True,3.6214220417896286,,,,False,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
33,7.5,135_bottom_d,True,3.622613958315924,,3.7272409999277443,slower,True,False,True,left,True,0.5952828334411606,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
34,8.5,45_top_r,True,3.6224468334112316,,,,False,False,True,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
35,7.5,45_top_r,False,,,3.721791374962777,faster,True,True,False,right,True,0.7429252916481346,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
36,8.0,45_bottom_l,True,3.6193614582298324,,,,False,False,True,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
37,7.5,135_top_u,False,,,,,False,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
38,8.5,45_bottom_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
39,8.0,none_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
40,8.0,45_top_r,True,3.614380666636862,,3.720125333406031,slower,True,False,True,down,True,0.5514264166122302,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
41,8.0,45_bottom_d,True,3.6139203750062734,,3.7224794999929145,slower,True,False,True,right,True,0.4891309167724103,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
42,8.5,45_bottom_l,False,,,3.725342041696422,slower,True,True,False,left,True,0.5957924999529496,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
43,8.5,135_top_l,False,,,3.7173893331782892,slower,True,True,False,left,True,0.5703587918542325,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
44,8.5,none_d,True,,left,3.74505958345253,slower,True,False,False,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
45,8.5,none_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
