trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,1,8.737509085697589,-0.007052207825170714,0.3,135_bottom_d,True,3.633741600002395,,4.000207600009162,True,"[0.29294779217482925, 0.29294779217482925, 0.29294779217482925]",False,True,lighter,True,0.4329468999931123,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,2,8.950282947133228,0.39588825135165495,0.3,45_bottom_l,True,3.6420562000130303,,4.007573499984574,True,"[0.6958882513516549, 0.6958882513516549, 0.6958882513516549]",False,True,lighter,True,0.5505452000070363,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,3,9.038402325005888,0.22635545800816545,-0.15,45_top_u,True,3.639557500020601,,4.007224400003906,True,"[0.07635545800816546, 0.07635545800816546, 0.07635545800816546]",False,True,lighter,False,0.5339033000054769,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,4,9.069038049981907,0.01676763712477447,0.3,none_r,False,,,4.0086301999981515,True,"[0.31676763712477446, 0.31676763712477446, 0.31676763712477446]",True,True,lighter,True,0.632489000010537,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,5,9.418012371881373,0.1977768190741061,-0.15,none_l,False,,,4.009052399982465,True,"[0.04777681907410611, 0.04777681907410611, 0.04777681907410611]",True,True,darker,True,0.5993216000206303,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,6,8.820854525491836,0.2791045436250196,0.3,none_r,True,3.6257152000034694,right,3.9914542000042275,True,"[0.5791045436250195, 0.5791045436250195, 0.5791045436250195]",False,False,lighter,True,0.5183608999941498,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,7,8.836527541362514,0.3055609115215777,0.0,135_top_u,False,,,4.007786700007273,True,"[0.3055609115215777, 0.3055609115215777, 0.3055609115215777]",True,False,lighter,,0.6682142000063322,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,8,8.851085241175598,0.13392093908797148,-0.15,135_bottom_d,False,,,4.007995799998753,True,"[-0.016079060912028514, -0.016079060912028514, -0.016079060912028514]",True,False,darker,True,0.5508353000041097,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,9,9.421083506116966,0.16312951755797425,-0.15,none_d,True,3.6399679000023752,left,4.007293500006199,True,"[0.013129517557974257, 0.013129517557974257, 0.013129517557974257]",False,False,lighter,False,0.49955179999233223,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,10,9.31457616745812,0.11291815492865698,0.15,45_top_r,False,,,4.007387699995888,True,"[0.262918154928657, 0.262918154928657, 0.262918154928657]",True,False,lighter,True,0.4681507000059355,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
