,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.5385946359,0.726306205212,-0.084,none_d,True,3.32734862505,right,3.45305845863,True,"[0.1034121981987175, 0.10330472793545531, 0.10291054004425093]",False,False,lighter,False,0.316264708294,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
1,interactor,2,9.80105319982,0.773608743234,-0.084,135_bottom_r,True,3.31323083327,,3.4421062083,True,"[0.21612407121500654, 0.21600661821489431, 0.2155758148556699]",False,True,darker,True,0.252212166786,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
2,interactor,3,9.63818040043,0.775518928161,0.12,135_bottom_d,False,,,3.54416699987,True,"[0.72833295047081603, 0.72817013182893819, 0.72757293279784663]",True,False,darker,False,0.411557041807,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
3,interactor,4,9.38758552913,0.873039205084,-0.084,45_top_r,True,3.31710695825,,3.44157608319,True,"[0.45929263904381012, 0.45915364893533517, 0.45864385007474451]",False,True,lighter,False,0.242504750146,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,empty,5,9.64851260227,0.801870000213,-0.084,none_u,True,3.31696704146,left,3.44539858308,True,"[0.28440189750392575, 0.28427839722987303, 0.28382541320327004]",False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
