trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,1,9.718734037929122,0.3199682676657901,0.0,45_top_r,False,,,3.945201199996518,True,"[0.3199682676657901, 0.3199682676657901, 0.3199682676657901]",True,False,darker,,0.8328576000058092,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,2,8.951711497388803,0.5577033705467497,0.0,135_top_l,False,,,3.9261495000100695,True,"[0.5577033705467497, 0.5577033705467497, 0.5577033705467497]",True,False,lighter,,0.48358979998738505,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,3,9.18844859623788,0.581648856233195,0.15,none_r,False,,,3.9239824999822304,True,"[0.731648856233195, 0.731648856233195, 0.731648856233195]",True,True,lighter,True,0.5350359000149183,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,4,8.947928523378657,0.06740558605686192,0.15,none_r,False,,,3.9257443000096828,True,"[0.21740558605686192, 0.21740558605686192, 0.21740558605686192]",True,True,lighter,True,0.5157338999852072,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,5,9.481670776087343,0.2169640938453461,0.3,none_r,True,3.6257260000274982,right,3.9077729000127874,True,"[0.5169640938453461, 0.5169640938453461, 0.5169640938453461]",False,False,lighter,True,0.5011405000113882,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,6,8.834677109761486,0.27135937288445755,-0.15,45_bottom_l,True,3.6247739999962505,,3.907806300005177,True,"[0.12135937288445756, 0.12135937288445756, 0.12135937288445756]",False,True,darker,True,0.6678151999949478,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,7,9.152330506091465,0.3863546624386472,-0.3,135_bottom_d,True,3.6264252999972086,,3.9102415000088513,True,"[0.0863546624386472, 0.0863546624386472, 0.0863546624386472]",False,True,darker,True,0.48255869999411516,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,8,9.025416198293494,0.5181686548453714,-0.3,none_l,True,3.62478650000412,left,3.908622999995714,True,"[0.21816865484537146, 0.21816865484537146, 0.21816865484537146]",False,False,lighter,False,0.79979540000204,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,9,9.185374286145265,0.16576817286126358,0.0,135_bottom_d,True,3.62478579999879,,3.908065199997509,True,"[0.16576817286126358, 0.16576817286126358, 0.16576817286126358]",False,True,darker,,0.7675792000081856,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,10,8.622155059787643,-0.34855505598792724,-0.3,none_l,False,,,3.92460279999068,True,"[-0.6485550559879272, -0.6485550559879272, -0.6485550559879272]",True,True,darker,True,0.5495485000137705,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
