trial_type,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,43,6.25,none_d,False,,,,False,,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,44,6.25,135_bottom_d,True,3.949038000078872,,4.217447291593999,True,[0.45  0.45  0.695],False,True,left,True,0.4209312917664647,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,45,6.0,none_d,False,,,4.214104916667566,True,[0.45  0.45  0.695],True,True,down,True,0.49158524989616126,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,46,6.0,135_top_l,False,,,4.2502067083260044,True,[0.45  0.45  0.695],True,False,left,True,0.46159020822960883,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,47,6.0,none_u,True,3.9472392917377874,left,4.21510304172989,True,[0.45  0.45  0.695],False,False,left,True,0.4437821250176057,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,48,6.5,none_d,True,3.9572479581693187,right,,False,,False,False,left,False,0.5459932081867009,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,49,6.0,135_bottom_d,False,,,,False,,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,50,6.0,45_bottom_l,False,,,4.249599000089802,True,[0.45  0.45  0.695],True,False,left,True,0.48950937495101243,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,51,6.25,135_bottom_r,False,,,4.213852958288044,True,[0.45  0.45  0.695],True,False,right,True,0.5301639167591929,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,52,6.0,135_top_l,False,,,,False,,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,53,6.0,45_top_u,False,,,4.237817291752435,True,[0.45  0.45  0.695],True,False,up,True,0.5534075417090207,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,54,6.5,135_top_l,True,3.9603795000584796,,4.221504000015557,True,[0.45  0.45  0.695],False,True,down,True,0.44742400001268834,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,55,6.5,45_top_u,True,4.001121958368458,,,False,,False,True,left,False,0.4509291249560192,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,56,6.5,45_top_r,False,,,4.234617791720666,True,[0.45  0.45  0.695],True,False,right,True,0.5698750000447035,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,57,6.0,45_top_r,False,,,,False,,True,False,right,False,0.5716483333380893,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,58,6.0,45_top_u,False,,,,False,,True,False,up,False,0.6052130416501313,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,59,6.25,none_r,True,3.9403376249829307,right,,False,,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,60,6.5,135_top_u,False,,,4.2804478333564475,True,[0.45  0.45  0.695],True,False,up,True,0.5558122500078753,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,61,6.25,45_bottom_d,True,3.940526583464816,,4.202016375027597,True,[0.45  0.45  0.695],False,True,right,True,0.40882704162504524,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,62,6.25,135_bottom_r,False,,,,False,,True,False,right,False,0.6212809166172519,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,63,6.25,none_u,True,3.9513714582426473,left,,False,,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,64,6.25,45_bottom_d,False,,,4.216769874910824,True,[0.45  0.45  0.695],True,False,down,True,0.53804391680751,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,65,6.25,45_top_u,True,3.9524449583841488,,4.216588291688822,True,[0.45  0.45  0.695],False,True,left,True,0.44262308324687183,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,66,6.5,none_r,False,,,4.21686395839788,True,[0.45  0.45  0.695],True,True,right,True,0.5606502500595525,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,67,6.5,none_l,True,4.113723416696303,left,,False,,False,False,down,False,0.3780749167781323,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,68,6.5,135_bottom_r,True,3.9683067082660273,,4.233787833247334,True,[0.45  0.45  0.695],False,True,up,True,0.3983508750097826,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,69,6.5,45_bottom_l,True,3.9736605832586065,,4.235220875008963,True,[0.45  0.45  0.695],False,True,up,True,0.40744874998927116,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,70,6.5,45_top_u,False,,,,False,,True,False,up,False,0.6900919168256223,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,71,6.5,none_u,True,3.958872125018388,left,,False,,False,False,left,False,0.42107874993234873,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,72,6.5,none_r,False,,,,False,,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,73,6.5,135_top_l,False,,,4.227605125051923,True,[0.45  0.45  0.695],True,False,left,True,0.737674625008367,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,74,6.25,45_bottom_l,True,4.053610583301634,,,False,,False,True,up,False,0.9786854999838397,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,75,6.5,135_top_l,False,,,,False,,True,False,left,False,0.8363389582373202,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,76,6.25,135_bottom_r,True,3.941992958425544,,4.203634166740812,True,[0.45  0.45  0.695],False,True,up,True,0.43012262508273125,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,77,6.0,45_bottom_d,True,3.9449694165959954,,4.2055277082836255,True,[0.45  0.45  0.695],False,True,right,True,0.40352766669820994,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,78,6.0,45_bottom_d,True,3.948896124958992,,,False,,False,True,right,False,0.5249370832461864,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,79,6.25,135_top_u,True,3.9522381250280887,,,False,,False,True,right,False,0.7416214165277779,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,80,6.0,135_bottom_r,False,,,,False,,True,False,right,False,0.5850022915983573,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,81,6.25,none_r,False,,,,False,,True,True,right,False,0.6710118750343099,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,82,6.0,135_top_u,False,,,4.238717083237134,True,[0.45  0.45  0.695],True,False,up,True,0.47237316670361906,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,83,6.25,none_u,False,,,,False,,True,True,up,False,0.5748032917035744,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,84,6.0,none_d,False,,,,False,,True,True,down,False,0.5277770416578278,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,85,6.0,135_top_u,False,,,,False,,True,False,up,False,0.5658472500508651,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,86,6.5,45_bottom_l,False,,,,False,,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,87,6.0,45_bottom_d,False,,,,False,,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,88,6.25,none_l,True,3.9766834166366607,left,,False,,False,False,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,89,6.5,none_u,False,,,,False,,True,True,up,False,0.458961833268404,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,90,6.5,45_bottom_d,False,,,,False,,True,False,down,False,0.5419282916700467,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,91,6.0,none_d,True,3.9343484583077952,right,4.215084958355874,True,[0.45  0.45  0.695],False,False,left,True,0.44379729172214866,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,92,6.25,none_d,False,,,4.2091635833494365,True,[0.45  0.45  0.695],True,True,down,True,0.4395617500413209,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,93,6.0,135_top_l,True,3.9384016667027026,,4.208602125057951,True,[0.45  0.45  0.695],False,True,down,True,0.37048091657925397,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,94,6.25,135_bottom_d,False,,,,False,,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,95,6.5,45_top_r,False,,,,False,,True,False,right,False,0.6910720416344702,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
empty,96,6.25,none_d,True,3.938179041724652,right,,False,,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,97,6.25,none_r,True,3.958250458468683,right,4.231365916784853,True,[0.45  0.45  0.695],False,False,down,True,0.4343220416922122,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,98,6.0,45_bottom_d,False,,,4.206718749948777,True,[0.45  0.45  0.695],True,False,down,True,0.44878737500403076,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,99,6.5,135_bottom_r,False,,,,False,,True,False,right,False,0.48913949995767325,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,100,6.0,none_r,False,,,,False,,True,True,right,False,0.4184107083128765,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,101,6.0,135_bottom_d,True,4.166790291666985,,4.432430750108324,True,[0.45  0.45  0.695],False,True,left,True,0.3809406249783933,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,102,6.5,135_top_l,True,3.9716364999767393,,,False,,False,True,down,False,0.37731604173313826,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,103,6.25,135_bottom_d,True,3.9508363334462047,,,False,,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,104,6.5,45_bottom_d,True,3.9563097916543484,,4.231064000050537,True,[0.45  0.45  0.695],False,True,right,True,0.4447733749402687,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,105,6.0,135_top_u,True,3.9514559584204108,,,False,,False,True,right,False,0.3595456250477582,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,106,6.5,45_top_u,True,3.9606360000325367,,4.225112125044689,True,[0.45  0.45  0.695],False,True,left,True,0.4800783332902938,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,107,6.0,45_top_r,False,,,4.237947416608222,True,[0.45  0.45  0.695],True,False,right,True,0.47875816677697003,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,108,6.25,135_top_l,True,3.945204499992542,,4.244442750001326,True,[0.45  0.45  0.695],False,True,down,True,0.38333395833615214,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,109,6.0,none_l,True,3.979960041702725,left,4.240447625052184,True,[0.45  0.45  0.695],False,False,down,True,0.4021453750319779,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,110,6.5,135_bottom_d,False,,,4.21449491684325,True,[0.45  0.45  0.695],True,False,down,True,0.4527041249675676,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,111,6.5,135_top_u,True,3.9702101666480303,,,False,,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,112,6.25,none_l,False,,,,False,,True,True,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,113,6.0,135_bottom_r,False,,,4.216277708299458,True,[0.45  0.45  0.695],True,False,right,True,0.5115495832869783,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,114,6.0,135_bottom_d,False,,,4.280044666607864,True,[0.45  0.45  0.695],True,False,down,True,0.45712454163003713,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,115,6.5,none_l,False,,,,False,,True,True,left,False,0.5046482500620186,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,116,6.0,none_u,False,,,,False,,True,True,up,False,0.43152566661592573,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,117,6.25,none_u,True,3.942657916690223,left,4.208009708207101,True,[0.45  0.45  0.695],False,False,left,True,0.5184575833845884,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,118,6.25,45_bottom_d,False,,,,False,,True,False,down,False,0.4983469999860972,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,119,6.5,45_bottom_d,True,3.9490938750095665,,,False,,False,True,right,False,0.39553395833354443,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,120,6.0,none_u,False,,,4.218818958266638,True,[0.45  0.45  0.695],True,True,up,True,0.47562349995132536,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
