,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.77520616408,0.777951025489,0.06,none_l,False,,,3.69722774997,True,"[0.58181941836194984, 0.5816695762237607, 0.5811199734343595]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
1,empty,2,9.58418541175,0.838023356391,0.0,none_d,False,,,3.57668695855,True,"[0.5820019650458057, 0.581852106739706, 0.58130244464836878]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,empty,3,9.34400194898,0.768534184874,0.12,none_u,True,3.37990533304,left,3.51415241673,True,"[0.71042749349630818, 0.71026626071633059, 0.70967487843435073]",False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
3,interactor,4,9.92150795064,0.760156650157,0.0,135_top_u,False,,,3.50239658356,True,"[0.38781985565501209, 0.38768719579347088, 0.38720061551087448]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
4,empty,5,9.47120807285,0.746645572844,-0.084,none_r,True,3.36843470857,left,3.50166554167,True,"[0.15163095270819604, 0.15151921177561967, 0.15110935958733207]",False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
