trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.362240354040408,0.2120594620222823,-0.335,none_l,True,3.5799790999735706,right,3.847291000012774,True,"[-0.12294053797771773, -0.12294053797771773, -0.12294053797771773]",False,False,darker,True,0.6838741999818012,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,2,9.524950719022844,-0.059920377412471915,0.335,45_top_u,False,,,3.8572366000153124,True,"[0.2750796225875281, 0.2750796225875281, 0.2750796225875281]",True,False,lighter,True,0.517744800017681,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,3,9.393323755744284,0.032044151108818544,-0.335,135_bottom_d,True,3.5817950000055134,,3.8483090000227094,True,"[-0.3029558488911815, -0.3029558488911815, -0.3029558488911815]",False,True,darker,True,0.7184629999683239,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,4,9.143201175323995,-0.10386648016446229,-0.168,none_r,False,,,3.867608000000473,True,"[-0.2718664801644623, -0.2718664801644623, -0.2718664801644623]",True,True,darker,True,0.7319124999921769,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,5,9.854328263881325,0.3279711214902792,-0.168,45_top_r,True,3.58320780005306,,3.8655875000404194,True,"[0.15997112149027917, 0.15997112149027917, 0.15997112149027917]",False,True,lighter,False,0.550063600006979,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,6,9.577112576453992,-0.021138315493576282,0.0,none_d,False,,,3.8672793000005186,True,"[-0.021138315493576282, -0.021138315493576282, -0.021138315493576282]",True,True,lighter,,0.46762650000164285,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,7,9.237880801251782,-0.017953451428621092,0.335,none_d,True,3.583111799962353,right,3.850181000016164,True,"[0.31704654857137893, 0.31704654857137893, 0.31704654857137893]",False,False,lighter,True,0.45009409997146577,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,8,9.65693832100294,-0.12249511940902805,0.335,none_r,True,3.58209879999049,left,3.8494053999893367,True,"[0.21250488059097197, 0.21250488059097197, 0.21250488059097197]",False,False,lighter,True,0.550411099975463,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,9,9.30561661692194,0.20599654162215608,-0.168,45_bottom_l,False,,,3.8674179999507032,True,"[0.03799654162215607, 0.03799654162215607, 0.03799654162215607]",True,False,darker,True,0.684088200039696,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,10,9.339596545809396,0.24406854237984507,0.168,none_r,False,,,3.8663597000413574,True,"[0.4120685423798451, 0.4120685423798451, 0.4120685423798451]",True,True,lighter,True,0.3667352999909781,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,11,9.075163254357143,0.2073071624572429,-0.168,none_r,False,,,3.8662143999827094,True,"[0.03930716245724289, 0.03930716245724289, 0.03930716245724289]",True,True,darker,True,0.6174311999930069,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,12,9.505664114974454,0.16900886142979463,0.335,135_bottom_r,False,,,3.8675518999807537,True,"[0.5040088614297946, 0.5040088614297946, 0.5040088614297946]",True,False,lighter,True,0.5483025000430644,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,13,9.385534276366828,0.1114597678032364,0.335,none_d,False,,,3.865714300016407,True,"[0.44645976780323643, 0.44645976780323643, 0.44645976780323643]",True,True,lighter,True,0.41682179999770597,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,14,9.330327013755666,0.38827667114969633,0.168,none_u,False,,,3.865745200018864,True,"[0.5562766711496964, 0.5562766711496964, 0.5562766711496964]",True,True,lighter,True,0.3681968999444507,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,15,9.470612360909056,-0.053485152080402415,0.168,45_bottom_l,False,,,3.864875499974005,True,"[0.1145148479195976, 0.1145148479195976, 0.1145148479195976]",True,False,lighter,True,0.4664294000249356,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,16,9.569318798112217,0.023909499645801663,0.335,45_top_u,True,3.581881499965675,,3.8494279999868013,True,"[0.35890949964580166, 0.35890949964580166, 0.35890949964580166]",False,True,lighter,True,0.5666203000000678,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,17,9.398416964854267,0.1025894765746003,0.168,none_r,False,,,3.8648730000131764,True,"[0.2705894765746003, 0.2705894765746003, 0.2705894765746003]",True,True,lighter,True,0.5173517999937758,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,18,9.164378633141975,0.29653426370185604,-0.168,45_top_r,False,,,3.8659514999599196,True,"[0.12853426370185603, 0.12853426370185603, 0.12853426370185603]",True,False,lighter,False,0.48322710004867986,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,19,9.283387174201097,0.18756827612897461,0.0,135_top_u,False,,,3.8659416000009514,True,"[0.18756827612897461, 0.18756827612897461, 0.18756827612897461]",True,False,lighter,,0.6342628999846056,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,20,9.484003385096898,0.27630445167328344,0.168,none_u,True,3.5844125999719836,left,3.8497268999926746,True,"[0.4443044516732835, 0.4443044516732835, 0.4443044516732835]",False,False,lighter,True,0.5506162000237964,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,21,10.104507066398128,-0.21544068286487114,-0.168,135_bottom_d,True,3.583790600008797,,3.867538599995896,True,"[-0.38344068286487115, -0.38344068286487115, -0.38344068286487115]",False,True,darker,True,0.4502871000440791,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,22,9.795740342910603,0.19171311314285733,0.0,45_bottom_d,True,3.5827460999717005,,3.850181200017687,True,"[0.19171311314285733, 0.19171311314285733, 0.19171311314285733]",False,True,lighter,,0.4327525999979116,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
