trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.43219245056,0.638385813495,0.16,none_l,False,,,4.55487450026,True,"[0.48256337432975549, 0.48242232316399747, 0.48190496459526933]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,2,9.55864874264,0.859636654254,0.0,135_top_u,False,,,4.55044999998,True,"[0.63672431537051732, 0.63656961038049098, 0.63600217124034186]",True,False,m,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,3,9.56203149218,0.760619111083,-0.16,none_d,False,,,4.55073889997,True,"[0.0057827502139293774, 0.0056839268577051349, 0.0053214547727840067]",True,True,x,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,4,8.99567384047,0.764514834011,0.16,none_u,False,,,4.5485224002,True,"[0.80303565420075684, 0.80286621924230417, 0.80224475236447934]",True,True,lighter,True,0.800651900005,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,5,9.2070227018,0.812479282267,-0.08,45_bottom_d,True,4.12495939992,,4.52484719967,True,"[0.31996329924139255, 0.31983664934249223, 0.31937211287395795]",False,True,lighter,False,0.899868499953,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,6,9.19042630197,0.680108320887,-0.16,none_r,True,4.1248893002,right,4.52406690037,True,"[-0.17793121926194977, -0.17801377132248997, -0.17831656226828885]",False,False,darker,True,1.00054619974,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,7,9.80594173184,0.79447060505,0.08,none_d,True,4.12515899958,left,4.52393829962,True,"[0.67448223464197099, 0.67432418548453832, 0.67374448034393564]",False,False,lighter,True,0.701297700405,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,8,9.31182154605,0.752603437265,0.0,135_top_l,True,4.12448240025,,4.52474489994,True,"[0.36923936726489903, 0.36910835305186729, 0.36862780880842383]",False,True,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,9,9.51939145522,0.725300533579,0.16,none_d,False,,,4.54847740009,True,"[0.7021498893920195, 0.70198938974814418, 0.70140069652047865]",True,True,m,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,10,8.76104344529,0.601730162805,0.0,135_bottom_d,False,,,4.5490433001,True,"[0.0083633766969333223, 0.0082643247781410967, 0.0079010143534437027]",True,False,darker,,0.700319999829,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,11,9.18691121162,0.746715000587,0.0,none_r,False,,,4.5518048997,True,"[0.35478641748078865, 0.35465668334580647, 0.35418083427338964]",True,True,darker,,0.826146500185,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,12,9.05664069858,0.640372278643,-0.16,45_bottom_l,True,4.12579159997,,4.52667370019,True,"[-0.26607640209578587, -0.26615114725771449, -0.26642530344626225]",False,True,darker,True,0.649149099831,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,13,9.75731265101,0.699408854949,0.16,45_bottom_d,False,,,4.55059900042,True,"[0.63614574330390838, 0.63599108955722072, 0.63542383837142369]",True,False,lighter,True,0.826456499752,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,14,9.25188602523,0.607533929951,-0.08,135_bottom_d,False,,,4.55164609989,True,"[-0.16126765601856041, -0.16135168394816535, -0.16165988820270283]",True,False,darker,True,0.949108299799,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,15,9.66723044768,0.795431034491,-0.08,none_r,False,,,4.54942249972,True,"[0.27848255820769019, 0.27835958220144197, 0.27790852112557118]",True,True,darker,True,0.925350199919,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,16,8.90268933796,0.623265070766,-0.08,135_bottom_r,True,4.12586520007,,4.52500260016,True,"[-0.12577262973495684, -0.12585980141062547, -0.12617953654442915]",False,True,lighter,False,0.70038169995,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,17,9.64987324903,0.916658417993,-0.08,none_r,True,4.12455249997,right,4.52507480001,True,"[0.57855783660440974, 0.578408283340067, 0.57785974010490215]",False,False,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
