trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,156,9.016443493715762,0.048842076740864174,0.0,none_d,False,,,3.8561037000035867,True,"[0.048842076740864174, 0.048842076740864174, 0.048842076740864174]",True,True,darker,,0.5855994999874383,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,157,9.184437901001195,0.30698369074405185,-0.168,45_top_u,True,3.5739689000183716,,3.8404281999683008,True,"[0.13898369074405184, 0.13898369074405184, 0.13898369074405184]",False,True,lighter,False,0.8345906999893486,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,158,9.754996011205225,0.33872233730500156,-0.335,45_bottom_l,True,3.573853599955328,,3.8410110999830067,True,"[0.003722337305001544, 0.003722337305001544, 0.003722337305001544]",False,True,lighter,False,0.634024600032717,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,159,9.787112828847185,0.16814052984974315,-0.168,135_top_u,True,3.5754960000049323,,3.8414819000754505,True,"[0.00014052984974313731, 0.00014052984974313731, 0.00014052984974313731]",False,True,darker,True,0.7834125999361277,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,160,9.59146080618825,-0.003690611373250219,0.335,none_l,True,3.5746106000151485,right,3.840618300018832,True,"[0.3313093886267498, 0.3313093886267498, 0.3313093886267498]",False,False,lighter,True,0.4513301000697538,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,161,9.654935233074113,-0.06129310181924455,0.168,none_u,True,3.575358900008723,right,3.8423103999812156,True,"[0.10670689818075546, 0.10670689818075546, 0.10670689818075546]",False,False,lighter,True,0.4335541999898851,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,162,9.019566722222738,0.1543107913957609,0.0,45_top_r,False,,,3.8583689000224695,True,"[0.1543107913957609, 0.1543107913957609, 0.1543107913957609]",True,False,lighter,,0.45020790002308786,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
empty,163,9.79039261302661,0.1573164619149854,0.335,none_u,False,,,3.8570535000180826,True,"[0.49231646191498546, 0.49231646191498546, 0.49231646191498546]",True,True,lighter,True,0.48448859993368387,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,164,9.435364304157243,0.41313681456119966,0.168,135_bottom_r,False,,,3.858388500055298,True,"[0.5811368145611997, 0.5811368145611997, 0.5811368145611997]",True,False,lighter,True,0.46663929999340326,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,165,9.374656729920806,0.30880388186218616,0.335,none_u,True,3.5759913000511006,right,3.8427926000440493,True,"[0.6438038818621862, 0.6438038818621862, 0.6438038818621862]",False,False,lighter,True,0.4820528000127524,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,166,9.1983455998214,-0.05395265567723412,-0.168,none_u,False,,,3.8576911999844015,True,"[-0.22195265567723413, -0.22195265567723413, -0.22195265567723413]",True,True,darker,True,0.600200799992308,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,167,9.156137503891946,0.25534253734469436,0.335,none_r,True,3.576296400045976,right,3.842120800050907,True,"[0.5903425373446944, 0.5903425373446944, 0.5903425373446944]",False,False,lighter,True,0.4166404999559745,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,168,9.790185220911727,0.05383484624625136,-0.335,none_l,False,,,3.857293499982916,True,"[-0.2811651537537487, -0.2811651537537487, -0.2811651537537487]",True,True,darker,True,0.5001989000011235,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,169,9.63497090788239,0.13993155501981205,0.0,none_l,True,3.5753198000602424,left,3.8425078000873327,True,"[0.13993155501981205, 0.13993155501981205, 0.13993155501981205]",False,False,lighter,,0.465555900009349,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,170,9.515956159762993,-0.07536593996779939,0.335,45_bottom_l,False,,,3.857735599973239,True,"[0.25963406003220063, 0.25963406003220063, 0.25963406003220063]",True,False,lighter,True,0.5005482999840751,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,171,9.155198661696364,0.06301336067893346,0.0,none_d,False,,,3.859245900064707,True,"[0.06301336067893346, 0.06301336067893346, 0.06301336067893346]",True,True,lighter,,0.41533819993492216,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,172,9.742528016906151,0.0029237561226297115,0.335,none_u,False,,,3.858106100000441,True,"[0.3379237561226297, 0.3379237561226297, 0.3379237561226297]",True,True,lighter,True,0.5675426999805495,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,173,9.768754359654743,0.14117436521127974,-0.168,none_l,False,,,3.8593908000038937,True,"[-0.02682563478872027, -0.02682563478872027, -0.02682563478872027]",True,True,darker,True,0.6985119000310078,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,174,9.312191165541433,0.15027256015880638,-0.168,135_bottom_d,True,3.5733680999837816,,3.8405638999538496,True,"[-0.017727439841193626, -0.017727439841193626, -0.017727439841193626]",False,True,darker,True,0.7180444000987336,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,175,9.184313061705087,0.2060074266846324,-0.335,135_bottom_d,False,,,3.8582014000276104,True,"[-0.12899257331536762, -0.12899257331536762, -0.12899257331536762]",True,False,lighter,False,0.5167484000558034,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,176,9.589454567886381,0.3099190433113954,0.168,none_r,False,,,3.8590506000909954,True,"[0.47791904331139545, 0.47791904331139545, 0.47791904331139545]",True,True,lighter,True,0.41587459994480014,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,177,9.294913310090827,0.23150012784694415,0.168,45_top_u,False,,,3.858205800061114,True,"[0.39950012784694416, 0.39950012784694416, 0.39950012784694416]",True,False,lighter,True,0.43299330002628267,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,178,8.75185909360601,0.1018395457933957,-0.168,none_r,False,,,3.8581508001079783,True,"[-0.06616045420660431, -0.06616045420660431, -0.06616045420660431]",True,True,darker,True,0.5159829999320209,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,179,9.67916829021956,-0.1299472355454833,-0.168,none_l,True,3.5743845000397414,left,3.841078200028278,True,"[-0.2979472355454833, -0.2979472355454833, -0.2979472355454833]",False,False,darker,True,0.6346397999441251,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,180,9.421808842737166,0.3121056351108927,0.168,135_top_u,False,,,3.8575934999389574,True,"[0.48010563511089266, 0.48010563511089266, 0.48010563511089266]",True,False,lighter,True,0.36579009995330125,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,181,9.754016373575256,0.13098315219558124,-0.335,none_u,False,,,3.8592879000352696,True,"[-0.20401684780441878, -0.20401684780441878, -0.20401684780441878]",True,True,darker,True,0.5347899000626057,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,182,9.601242352068434,0.13506259347778823,0.168,none_u,True,3.573708900017664,left,3.8406477000098675,True,"[0.30306259347778824, 0.30306259347778824, 0.30306259347778824]",False,False,lighter,True,0.5013779000146315,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,183,9.471661430816534,0.19331926178071407,-0.168,135_bottom_d,True,3.5742717999964952,,3.84180870000273,True,"[0.02531926178071406, 0.02531926178071406, 0.02531926178071406]",False,True,lighter,False,0.49914369999896735,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,184,9.869149334405266,0.24877203955654548,-0.335,45_top_r,True,3.5749310000101104,,3.8592248000204563,True,"[-0.08622796044345454, -0.08622796044345454, -0.08622796044345454]",False,True,lighter,False,0.6671533999033272,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,185,9.54272469289407,0.17852912802598947,-0.168,135_top_u,False,,,3.85771700006444,True,"[0.01052912802598946, 0.01052912802598946, 0.01052912802598946]",True,False,lighter,False,0.4333844999782741,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,186,9.542027478203288,0.3293516344207781,0.335,135_bottom_r,True,3.574086399981752,,3.840222099912353,True,"[0.664351634420778, 0.664351634420778, 0.664351634420778]",False,True,lighter,True,0.4508111000759527,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,187,9.538606284635089,-0.0955526292702544,-0.168,none_l,True,3.5751096999738365,left,3.8407438000431284,True,"[-0.2635526292702544, -0.2635526292702544, -0.2635526292702544]",False,False,darker,True,0.5850308999652043,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,188,9.633658298030085,0.22463133277567288,0.335,45_bottom_l,False,,,3.857701399945654,True,"[0.5596313327756729, 0.5596313327756729, 0.5596313327756729]",True,False,lighter,True,0.5505207000533119,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,189,9.502109127380146,0.3165298493874257,-0.335,45_bottom_d,False,,,3.8569438999984413,True,"[-0.018470150612574343, -0.018470150612574343, -0.018470150612574343]",True,False,lighter,False,0.6177878000307828,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,190,9.298559716632594,-0.07013398645092497,0.335,45_top_r,False,,,3.8574270999524742,True,"[0.264866013549075, 0.264866013549075, 0.264866013549075]",True,False,lighter,True,0.40079030010383576,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,191,9.65018532350911,-0.03683944992746144,-0.335,45_bottom_d,False,,,3.8586383999790996,True,"[-0.37183944992746143, -0.37183944992746143, -0.37183944992746143]",True,False,darker,True,0.6163893999764696,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,192,9.360473855911799,0.19915376515048241,-0.168,none_l,False,,,3.856280600070022,True,"[0.031153765150482404, 0.031153765150482404, 0.031153765150482404]",True,True,darker,True,0.7173113999888301,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,193,9.887565562456606,0.08079835334463048,0.168,45_bottom_d,False,,,3.8592895000474527,True,"[0.2487983533446305, 0.2487983533446305, 0.2487983533446305]",True,False,lighter,True,0.4329767999006435,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,194,9.473557730841389,0.02215099907026552,0.168,none_d,False,,,3.857834200025536,True,"[0.19015099907026553, 0.19015099907026553, 0.19015099907026553]",True,True,lighter,True,0.41729040001519024,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,195,9.093177573706532,0.27666529590752464,0.335,135_top_l,False,,,3.856927299988456,True,"[0.6116652959075246, 0.6116652959075246, 0.6116652959075246]",True,False,lighter,True,0.4177905999822542,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,196,9.302654598967363,0.236143527660226,-0.168,45_bottom_l,False,,,3.857683900045231,True,"[0.068143527660226, 0.068143527660226, 0.068143527660226]",True,False,darker,True,0.5343778999522328,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,197,9.44424983434071,-0.16397446917905587,-0.335,none_l,False,,,3.857840899960138,True,"[-0.49897446917905586, -0.49897446917905586, -0.49897446917905586]",True,True,darker,True,0.4998249000636861,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,198,9.695667416531991,-0.00020291648238057736,-0.335,none_l,True,3.5744002999272197,left,3.8422569999238476,True,"[-0.3352029164823806, -0.3352029164823806, -0.3352029164823806]",False,False,darker,True,0.7336929000448436,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,199,9.631344012278522,0.24658609199649917,0.0,none_d,True,3.5749383999500424,right,3.841200599912554,True,"[0.24658609199649917, 0.24658609199649917, 0.24658609199649917]",False,False,lighter,,0.7167603999841958,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,200,9.431483738089602,0.24212704105344535,0.0,none_r,False,,,3.857595199951902,True,"[0.24212704105344535, 0.24212704105344535, 0.24212704105344535]",True,True,lighter,,0.5495236000278965,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,201,9.490448986566303,0.28420169368032777,0.168,none_r,False,,,3.858794100000523,True,"[0.4522016936803278, 0.4522016936803278, 0.4522016936803278]",True,True,lighter,True,0.6183707999298349,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,202,9.640431585610953,-0.09586164858146878,0.168,45_top_u,True,3.5748015000717714,,3.8410188000416383,True,"[0.07213835141853123, 0.07213835141853123, 0.07213835141853123]",False,True,darker,False,0.5508815000066534,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,203,9.502867066470019,0.013312005340256589,0.168,none_d,False,,,3.857956700026989,True,"[0.1813120053402566, 0.1813120053402566, 0.1813120053402566]",True,True,lighter,True,0.4670846000080928,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,204,9.627907990548294,-0.06158707130128141,-0.168,45_bottom_l,True,3.5757471999386325,,3.8408522999379784,True,"[-0.22958707130128142, -0.22958707130128142, -0.22958707130128142]",False,True,darker,True,0.5848137000575662,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,205,9.70315180871298,-0.18786733420215543,-0.168,none_r,False,,,3.8563082999316975,True,"[-0.35586733420215544, -0.35586733420215544, -0.35586733420215544]",True,True,darker,True,0.5686977000441402,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,206,9.930771412230886,0.1372525764446069,0.168,135_bottom_d,False,,,3.858090199995786,True,"[0.3052525764446069, 0.3052525764446069, 0.3052525764446069]",True,False,lighter,True,0.46521309996023774,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,207,9.595014126129247,0.2378132486340016,-0.168,none_r,True,3.5726870000362396,right,3.839527599979192,True,"[0.0698132486340016, 0.0698132486340016, 0.0698132486340016]",False,False,lighter,False,0.4506319999927655,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
